Model,RMSE,MAE,R²,Training Time (s)
Linear Regression,0.641849743948567,0.4770340908640858,0.7021315868670133,0.004305839538574219
Decision Tree,0.8681400527887191,0.6038205999999999,0.45507429586712533,0.10370588302612305
Random Forest,0.5842920909202806,0.40260914150000005,0.7531587582403376,6.925611972808838
XGBoost,0.5579099297122758,0.3688114216499328,0.7749464388922067,0.4739692211151123
